TargetAttr,TargetWeight,RankReversed,NewWinner,Spread
ConstructionCost,0.0,NO,Scenario 5: Bioswale And Dry Pond,0.9723
ConstructionCost,0.05,NO,Scenario 5: Bioswale And Dry Pond,0.9079
ConstructionCost,0.1,NO,Scenario 5: Bioswale And Dry Pond,0.8435
ConstructionCost,0.15,NO,Scenario 5: Bioswale And Dry Pond,0.7792
ConstructionCost,0.2,NO,Scenario 5: Bioswale And Dry Pond,0.7148
ConstructionCost,0.25,NO,Scenario 5: Bioswale And Dry Pond,0.6504
ConstructionCost,0.3,NO,Scenario 5: Bioswale And Dry Pond,0.6312
ConstructionCost,0.35,NO,Scenario 5: Bioswale And Dry Pond,0.6195
ConstructionCost,0.4,NO,Scenario 5: Bioswale And Dry Pond,0.6077
ConstructionCost,0.45,NO,Scenario 5: Bioswale And Dry Pond,0.596
ConstructionCost,0.5,NO,Scenario 5: Bioswale And Dry Pond,0.5843
ConstructionCost,0.55,YES,Scenario 4: Open Greenspace,0.5984
ConstructionCost,0.6,YES,Scenario 4: Open Greenspace,0.6154
ConstructionCost,0.65,YES,Scenario 4: Open Greenspace,0.6324
ConstructionCost,0.7,YES,Scenario 4: Open Greenspace,0.6495
ConstructionCost,0.75,YES,Scenario 4: Open Greenspace,0.6665
ConstructionCost,0.8,YES,Scenario 4: Open Greenspace,0.6835
ConstructionCost,0.85,YES,Scenario 4: Open Greenspace,0.7005
ConstructionCost,0.9,YES,Scenario 0: Control (No Changes),0.7221
ConstructionCost,0.95,YES,Scenario 0: Control (No Changes),0.7522
ConstructionCost,1.0,YES,Scenario 0: Control (No Changes),0.7823
MaintenanceCost,0.0,NO,Scenario 5: Bioswale And Dry Pond,0.9365
MaintenanceCost,0.05,NO,Scenario 5: Bioswale And Dry Pond,0.8883
MaintenanceCost,0.1,NO,Scenario 5: Bioswale And Dry Pond,0.84
MaintenanceCost,0.15,NO,Scenario 5: Bioswale And Dry Pond,0.7917
MaintenanceCost,0.2,NO,Scenario 5: Bioswale And Dry Pond,0.7434
MaintenanceCost,0.25,NO,Scenario 5: Bioswale And Dry Pond,0.7173
MaintenanceCost,0.3,NO,Scenario 5: Bioswale And Dry Pond,0.7323
